model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
Qwen/Qwen1.5-32B,GSM8K,papers_2407.10671,papers_2412.15115,0.768,0.785,-0.017,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2408.00118,papers_2412.15115,0.625,0.642,-0.017,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,PIQA,papers_2302.13971,papers_2309.05463,0.798,0.781,0.017,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2310.06825,papers_2408.00118,0.813,0.83,-0.017,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2404.05892,papers_2408.00118,0.805,0.822,-0.017,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2403.08295,papers_2408.00118,0.805,0.822,-0.017,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2401.04088,papers_2404.05892,0.822,0.805,0.017,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,PIQA,papers_2401.04088,papers_2403.08295,0.822,0.805,0.017,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2412.15115,0.625,0.642,-0.017,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MMLU,papers_2409.12122,papers_2505.09388,0.799,0.816,-0.017,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2407.10671,0.625,0.642,-0.017,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2302.13971,papers_2403.08295,0.476,0.459,0.017,25,25,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,MBPP,papers_2309.05463,papers_2312.06550,0.117,0.1339,-0.0169,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2407.10671,0.8488,0.832,0.0168,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.06550,papers_2401.04088,0.6416,0.625,0.0166,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.06550,papers_2408.00118,0.6416,0.625,0.0166,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2302.13971,papers_2312.06550,0.761,0.7774,-0.0164,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2403.08295,papers_2405.19327,0.146,0.1622,-0.0162,11,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,PIQA,papers_2302.13971,papers_2405.19327,0.798,0.7818,0.0162,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,PIQA,papers_2402.16819,papers_2405.19327,0.798,0.7818,0.0162,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.05463,papers_2405.19327,0.146,0.1622,-0.0162,unknown,8,lm-evaluation-harness,lm-evaluation-harness,,
unknown/DS-Coder-V2-Lite-Instruct,LiveCodeBench,papers_2409.12186,papers_2411.04905,0.704,0.688,0.016,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2403.08295,papers_2403.17297,0.146,0.162,-0.016,11,8,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2403.17297,papers_2405.04324,0.288,0.304,-0.016,3,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.05463,papers_2403.17297,0.146,0.162,-0.016,unknown,8,lm-evaluation-harness,opencompass,,
tiiuae/falcon-7b,MMLU,papers_2307.09288,papers_2312.06550,0.262,0.2779,-0.0159,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.15166,papers_2412.15115,0.8488,0.833,0.0158,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2312.06550,papers_2312.15166,0.8331,0.8488,-0.0157,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2312.06550,papers_2403.17297,0.1305,0.146,-0.0155,0,0,lm-evaluation-harness,opencompass,,
google/gemma-2b,BBH,hfopenllm_v2,papers_2407.10671,0.3366,0.352,-0.0154,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2405.19327,0.625,0.6404,-0.0154,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2405.19327,papers_2408.00118,0.6404,0.625,0.0154,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,GPQA,hfopenllm_v2,papers_2407.10671,0.3943,0.379,0.0153,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2312.06550,0.453,0.438,0.015,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2402.16819,papers_2405.19327,0.306,0.291,0.015,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2403.17297,0.625,0.64,-0.015,5,5,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MATH,papers_2401.04088,papers_2405.04324,0.039,0.024,0.015,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2310.06825,papers_2405.04324,0.039,0.024,0.015,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
facebook/OPT-1.3B,WinoGrande,papers_2309.05463,papers_2312.00752,0.61,0.595,0.015,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2403.17297,0.453,0.468,-0.015,5,5,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2405.19327,0.453,0.468,-0.015,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.17297,papers_2408.00118,0.64,0.625,0.015,5,5,opencompass,lm-evaluation-harness,,
google/Gemma2-9B,MMLU,papers_2412.15115,papers_2505.09388,0.713,0.728,-0.015,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,WinoGrande,papers_2302.13971,papers_2403.17297,0.702,0.687,0.015,5,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2403.08295,papers_2405.19327,0.453,0.468,-0.015,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2403.08295,papers_2403.17297,0.453,0.468,-0.015,5,5,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2312.06550,papers_2403.08295,0.438,0.453,-0.015,5,5,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,MMLU,papers_2309.05463,papers_2407.14885,0.269,0.2837,-0.0147,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,BBH,hfopenllm_v2,papers_2309.16609,0.3496,0.335,0.0146,3,unknown,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen2-1.5B,BBH,hfopenllm_v2,papers_2407.10671,0.3575,0.372,-0.0145,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2310.06825,papers_2312.06550,0.116,0.1305,-0.0145,0,0,lm-evaluation-harness,lm-evaluation-harness,,
facebook/OPT-1.3B,WinoGrande,papers_2309.05463,papers_2401.02385,0.61,0.5959,0.0141,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2310.06825,papers_2403.08295,0.039,0.025,0.014,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2403.17297,papers_2408.00118,0.113,0.127,-0.014,4,4,opencompass,lm-evaluation-harness,,
openai/gpt-4,MMLU,papers_2406.12793,papers_2410.21276,0.864,0.85,0.014,5,0,lm-evaluation-harness,openai_evals,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.05463,papers_2401.04088,0.146,0.16,-0.014,unknown,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.05463,papers_2310.06825,0.146,0.16,-0.014,unknown,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2401.04088,papers_2403.17297,0.127,0.113,0.014,unknown,4,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2403.08295,0.742,0.728,0.014,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/text-davinci-003,MMLU,helm_classic,helm_lite,0.569,0.555,0.014,,,helm,helm,,
meta-llama/Llama-2-7b-hf,BoolQ,papers_2302.13971,papers_2309.05463,0.765,0.779,-0.014,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MMLU,papers_2303.08774,papers_2410.21276,0.864,0.85,0.014,5,0,openai_evals,openai_evals,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2310.06825,papers_2403.08295,0.16,0.146,0.014,8,11,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2401.04088,papers_2403.08295,0.16,0.146,0.014,8,11,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MMLU,papers_2306.05685,papers_2410.21276,0.864,0.85,0.014,5,0,fastchat,openai_evals,,
meta-llama/Llama-2-7b-hf,MATH,papers_2401.04088,papers_2403.08295,0.039,0.025,0.014,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2310.06825,papers_2312.06550,0.305,0.2912,0.0138,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2312.06550,papers_2402.16819,0.2912,0.305,-0.0138,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GPQA,hfopenllm_v2,papers_2407.10671,0.3045,0.318,-0.0135,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2402.19173,papers_2405.19327,0.149,0.1622,-0.0132,unknown,8,bigcode-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2312.15166,papers_2408.00118,0.7719,0.785,-0.0131,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2405.19327,papers_2407.10671,0.28,0.293,-0.013,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2405.19327,papers_2412.15115,0.28,0.293,-0.013,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2405.04324,papers_2405.19327,0.304,0.291,0.013,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/CodeLlama-7B,HumanEval,papers_2312.06550,papers_2411.04905,0.335,0.348,-0.013,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2402.16819,papers_2409.12122,0.663,0.676,-0.013,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MBPP,papers_2407.10671,papers_2505.09388,0.659,0.672,-0.013,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
01-ai/Yi-Coder-1.5B-Chat,LiveCodeBench,papers_2409.12186,papers_2411.04905,0.577,0.59,-0.013,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MMLU-Pro,papers_2412.15115,papers_2505.09388,0.216,0.229,-0.013,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,GSM8K,helm_lite,papers_2309.05463,0.055,0.068,-0.013,,unknown,helm,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2402.19173,papers_2403.17297,0.149,0.162,-0.013,unknown,8,bigcode-evaluation-harness,opencompass,,
tiiuae/falcon-7b,GSM8K,helm_lite,papers_2307.09288,0.055,0.068,-0.013,,8,helm,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,IFEval,hfopenllm_v2,papers_2407.10671,0.1873,0.2,-0.0127,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
facebook/OPT-1.3B,BoolQ,papers_2309.05463,papers_2401.02385,0.596,0.6083,-0.0123,0,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,ARC-Easy,papers_2311.11045,papers_2403.04652,0.9663,0.954,0.0123,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2312.15166,papers_2412.15115,0.7719,0.784,-0.0121,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2312.15166,papers_2407.10671,0.7719,0.784,-0.0121,5,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2403.08295,papers_2404.05892,0.772,0.76,0.012,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2402.16819,papers_2407.10671,0.305,0.293,0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2402.16819,papers_2412.15115,0.305,0.293,0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2310.06825,papers_2412.15115,0.305,0.293,0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2310.06825,papers_2407.10671,0.305,0.293,0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,HumanEval,papers_2407.10671,papers_2412.15115,0.512,0.5,0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2403.17297,papers_2408.00118,0.274,0.262,0.012,0,0,opencompass,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MBPP,papers_2401.04088,papers_2403.17297,0.607,0.595,0.012,3,3,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2310.06825,papers_2403.08295,0.116,0.128,-0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,WinoGrande,papers_2407.10671,papers_2412.15115,0.662,0.65,0.012,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2403.17297,papers_2405.19327,0.146,0.134,0.012,0,0,opencompass,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MMLU,papers_2401.04088,papers_2403.17297,0.706,0.718,-0.012,5,5,lm-evaluation-harness,opencompass,,
mistralai/Mixtral-8x7B-v0.1,MMLU,papers_2401.04088,papers_2407.10671,0.706,0.718,-0.012,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2309.16609,papers_2310.06825,0.128,0.116,0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2309.05463,papers_2310.06825,0.128,0.116,0.012,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,HellaSwag,papers_2403.08295,papers_2407.10671,0.81,0.822,-0.012,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
unknown/MPT,HellaSwag,papers_2309.16609,papers_2312.06550,0.764,0.7757,-0.0117,10,10,lm-evaluation-harness,lm-evaluation-harness,,
unknown/MPT,HellaSwag,papers_2307.09288,papers_2312.06550,0.764,0.7757,-0.0117,10,10,lm-evaluation-harness,lm-evaluation-harness,,
unknown/Mamba,ARC-Easy,papers_2404.05892,papers_2501.00663,0.481,0.4924,-0.0114,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2312.15166,papers_2407.10671,0.8763,0.865,0.0113,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen-14B,GSM8K,papers_2312.15166,papers_2403.17297,0.5898,0.601,-0.0112,8,8,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2312.06550,papers_2405.19327,0.2912,0.28,0.0112,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-Plus,GSM8K,papers_2412.15115,papers_2505.09388,0.93,0.9189,0.0111,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2310.06825,papers_2402.19173,0.16,0.149,0.011,8,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2401.04088,papers_2402.19173,0.16,0.149,0.011,8,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2309.05463,papers_2403.08295,0.763,0.752,0.011,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MATH,papers_2310.06825,papers_2403.17297,0.06,0.049,0.011,unknown,4,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-13b-hf,MATH,papers_2401.04088,papers_2403.17297,0.06,0.049,0.011,unknown,4,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-0.5B,MMLU,papers_2407.10671,papers_2412.15115,0.454,0.443,0.011,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2302.13971,papers_2403.08295,0.761,0.772,-0.011,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2401.04088,papers_2404.05892,0.771,0.76,0.011,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2310.06825,papers_2404.05892,0.771,0.76,0.011,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2403.17297,papers_2412.15115,0.113,0.102,0.011,4,4,opencompass,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MMLU,papers_2403.17297,papers_2501.00656,0.691,0.702,-0.011,5,5,opencompass,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MMLU-Pro,papers_2407.10671,papers_2505.09388,0.218,0.229,-0.011,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2310.06825,papers_2401.04088,0.753,0.742,0.011,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2403.17297,0.742,0.753,-0.011,5,unknown,lm-evaluation-harness,opencompass,,
openai/gpt-3.5-turbo,MMLU,papers_2403.04652,papers_2501.00656,0.691,0.702,-0.011,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2401.04088,papers_2402.16819,0.742,0.753,-0.011,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2310.06825,0.105,0.116,-0.011,0,0,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,MMLU,helm_lite,papers_2312.06550,0.288,0.2779,0.0101,,5,helm,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2309.16609,papers_2310.06825,0.029,0.039,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,HellaSwag,papers_2402.16819,papers_2407.10671,0.812,0.822,-0.01,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2408.00118,papers_2501.00656,0.625,0.635,-0.01,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2302.13971,papers_2310.06825,0.761,0.771,-0.01,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2501.00656,0.625,0.635,-0.01,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TriviaQA,papers_2310.06825,papers_2403.17297,0.699,0.689,0.01,unknown,unknown,lm-evaluation-harness,opencompass,,
google/gemma-7b,HellaSwag,papers_2403.19887,papers_2407.10671,0.812,0.822,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,PIQA,papers_2402.16819,papers_2403.08295,0.798,0.788,0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,ARC-Easy,papers_2402.16819,papers_2403.08295,0.815,0.805,0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
01-ai/Yi-1.5-34B,GSM8K,papers_2407.10671,papers_2412.15115,0.827,0.817,0.01,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2402.16819,papers_2505.09388,0.663,0.673,-0.01,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2302.13971,papers_2310.06825,0.029,0.039,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2302.13971,papers_2401.04088,0.029,0.039,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2302.13971,papers_2401.04088,0.761,0.771,-0.01,10,10,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,ARC-Easy,papers_2403.08295,papers_2403.19887,0.805,0.815,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2309.16609,papers_2401.04088,0.029,0.039,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,PIQA,papers_2302.13971,papers_2403.08295,0.798,0.788,0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2302.13971,papers_2309.05463,0.701,0.691,0.01,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GPQA,papers_2407.10671,papers_2412.15115,0.318,0.308,0.01,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,MBPP,papers_2407.10671,papers_2408.00118,0.292,0.302,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2309.05463,papers_2402.16819,0.763,0.773,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,PIQA,papers_2403.08295,papers_2403.19887,0.822,0.812,0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,PIQA,papers_2402.16819,papers_2403.08295,0.812,0.822,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2310.06825,papers_2403.08295,0.247,0.257,-0.01,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,BoolQ,papers_2307.09288,papers_2309.05463,0.675,0.685,-0.01,unknown,0,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,ARC-Challenge,papers_2309.05463,papers_2407.14885,0.363,0.3729,-0.0099,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2312.15166,papers_2403.19887,0.8763,0.867,0.0093,10,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MMLU,papers_2306.05685,papers_2403.17297,0.7,0.691,0.009,5,5,fastchat,opencompass,,
openai/gpt-3.5-turbo,MMLU,papers_2306.05685,papers_2403.04652,0.7,0.691,0.009,5,5,fastchat,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MMLU,papers_2303.08774,papers_2403.04652,0.7,0.691,0.009,5,5,openai_evals,lm-evaluation-harness,,
openai/gpt-4,GSM8K,papers_2309.16609,papers_2409.12122,0.92,0.929,-0.009,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2401.04088,0.453,0.444,0.009,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,PIQA,papers_2401.04088,papers_2403.08295,0.779,0.788,-0.009,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,GSM8K,papers_2303.08774,papers_2409.12122,0.92,0.929,-0.009,5,8,openai_evals,lm-evaluation-harness,,
openai/gpt-4,GSM8K,papers_2403.04652,papers_2409.12122,0.92,0.929,-0.009,8,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,GSM8K,papers_2305.10403,papers_2409.12122,0.92,0.929,-0.009,8,8,unknown,lm-evaluation-harness,,
openai/gpt-4,GSM8K,papers_2406.12793,papers_2409.12122,0.92,0.929,-0.009,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2401.04088,papers_2403.08295,0.444,0.453,-0.009,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2310.06825,papers_2403.08295,0.444,0.453,-0.009,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MATH,papers_2403.17297,papers_2405.04324,0.033,0.024,0.009,4,4,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,WinoGrande,papers_2302.13971,papers_2403.08295,0.701,0.692,0.009,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MMLU,papers_2303.08774,papers_2403.17297,0.7,0.691,0.009,5,5,openai_evals,opencompass,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2310.06825,0.453,0.444,0.009,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,BBH,papers_2309.16609,papers_2403.08295,0.335,0.326,0.009,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
